title,company,location,workplace,job_type,level,applicants,salary,posted,skills
Desarrollador/a Full Stack,Econocom Products & Solutions,"Gijón, Principality of Asturias, Spain",Hybrid,Full-time,Associate,100,,Reposted 2 days ago,"['Spring', 'MySQL', 'Angular', 'Java', 'HTML', 'CSS', 'JavaScript', 'TypeScript']"
Analista/desarrollador Senior en tecnología .NET,Squarepoint,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,,100,,2 months ago,"['C#', 'Oracle']"
Desarrollador software de sistemas embebidos,ITCL Technology Centre,"Burgos, Castilla and Leon, Spain",On-site,Full-time,Mid-Senior level,12,,1 week ago,"['C', 'C++', 'C#', 'Python']"
Desarrollador/a de Software con Python,ISPROX,"Valladolid, Castilla and Leon, Spain",Hybrid,Full-time,Mid-Senior level,58,,3 weeks ago,"['Python', 'C', 'C++', 'C#', 'Java', 'Go', 'JavaScript', 'React', 'Flutter', 'SQL', 'Azure', 'AWS']"
Artificial Intelligence Software Engineer,TransPerfect,"Barcelona, Catalonia, Spain",Hybrid,Full-time,Associate,100,,4 weeks ago,"['Python', 'C#', 'Spark']"
PROGRAMADOR PLC Y ROBOTS,Eurofirms Group | People first,"Alcalá de Henares, Community of Madrid, Spain",On-site,Full-time,,59,,3 weeks ago,"['C++', 'C#']"
DevOps Engineer (Remoto 100%),knowmad mood,Spain,Remote,Full-time,Associate,100,,Reposted 1 week ago,"['AWS', 'Docker', 'Kubernetes', 'GCP', 'Azure', 'Jenkins', 'Groovy', 'SAS']"
Junior Salesforce Developer,VISEO IBERIA,Greater Madrid Metropolitan Area,Hybrid,Full-time,Associate,72,,3 weeks ago,"['JavaScript', 'Jenkins']"
Frontend Engineer - Next.Js & React.Js,Capitole,Greater Barcelona Metropolitan Area,Hybrid,Full-time,Mid-Senior level,100,,3 weeks ago,"['React', 'CSS', 'AWS', 'Docker']"
Senior DevOps Engineer,Ilkari,Greater Málaga Metropolitan Area,Hybrid,Full-time,Mid-Senior level,20 people clicked apply,,1 week ago,"['Bash', 'PowerShell', 'Ruby', 'Azure']"
DevOps Engineer - FullStack Developer (100% Remoto),knowmad mood,Spain,Remote,Full-time,Associate,100,,Reposted 1 month ago,"['AWS', 'Docker', 'Kubernetes', 'GCP', 'PostgreSQL']"
Fullstack Angular & Java,Capitole,Spain,Remote,Full-time,Associate,100,,3 weeks ago,"['Angular', 'Java', 'Spring', 'Jenkins', 'Docker', 'Kubernetes']"
Data Engineer,Q-tech,Spain,Remote,Full-time,Mid-Senior level,100,,3 weeks ago,"['Python', 'PySpark', 'Spark', 'Azure']"
Senior Angular Developer,Capitole,Spain,Remote,Full-time,Mid-Senior level,100,,Reposted 1 month ago,['Angular']
Senior Data Engineer,Recodme,Spain,Remote,Full-time,Associate,94,,2 weeks ago,"['Azure', 'PySpark']"
DevOps Engineer,NTT DATA Europe & Latam,"Andalusia, Spain",Remote,Full-time,Mid-Senior level,100,,2 weeks ago,"['Jenkins', 'Docker', 'Kubernetes', 'Kafka', 'Azure', 'AWS']"
Desarrollador Senior IVR (Avaya),Evolutio Empowering the cloud,Spain,Remote,Full-time,Associate,20,,Reposted 4 days ago,['Java']
Cloud Engineer,BASE life science,"Barcelona, Catalonia, Spain",Hybrid,Full-time,Mid-Senior level,6 people clicked apply,,2 days ago,"['AWS', 'Azure', 'GCP', 'Docker']"
Appian developer,Tata Consultancy Services,Spain,Remote,Full-time,Mid-Senior level,35,,1 week ago,['JavaScript']
Full Stack Developer,HERCAL DIGGERS S.L.,"Terrassa, Catalonia, Spain",On-site,Full-time,,100,,6 days ago,"['PHP', 'HTML', 'JavaScript', 'MySQL', 'MariaDB', 'SQL', 'Azure']"
Electronic and Embedded Systems Engineer,BIONET,"Fuente-Álamo de Murcia, Región de Murcia, Spain",On-site,Full-time,,82,,1 month ago,"['C', 'Python']"
Programador Pro C,ITERIAM,Spain,Remote,Full-time,Associate,95,,Reposted 1 month ago,['C']
Data Engineer,COSENTINO,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Associate,100,,1 week ago,"['Spark', 'Scala', 'Azure', 'SQL', 'Hadoop', 'NoSQL']"
Senior Frontend Web Developer,Mediktor,"Barcelona, Catalonia, Spain",Hybrid,Full-time,,100,,1 month ago,"['TypeScript', 'JavaScript', 'React', 'Angular', 'AWS', 'Groovy', 'Jenkins']"
Senior Frontend Developer [Angular],Profile Software Services,Spain,Remote,Full-time,Associate,100,,Reposted 5 days ago,"['Angular', 'JavaScript', 'TypeScript', 'HTML', 'CSS', 'Chai', 'Selenium', 'Express', 'Gatsby', 'Docker', 'Kubernetes']"
Frontend Developer Angular (híbrido Madrid),knowmad mood,Greater Madrid Metropolitan Area,Hybrid,Full-time,Mid-Senior level,100,,Reposted 3 months ago,"['Angular', 'Azure']"
Técnico/a de Desarrollo angular,Apiux Tech,"Seville, Andalusia, Spain",On-site,Full-time,Associate,100,,3 weeks ago,['Angular']
